"The number of entries per field is limited to 10 for this overview."

ID,Name,"Collection number"
1,"Achromobacter phage 83-24","HER 227"
2,"Acinetobacter phage BS46","HER 401"
3,"Acinetobacter phage A3/2","HER 33"
4,"Acinetobacter phage A10/45","HER 50"
5,"Acinetobacter phage B9PP","HER 96"
6,"Acinetobacter phage A36","HER 127"
7,"Acinetobacter phage E13","HER 151"
8,"Acinetobacter phage E14","HER 156"
9,"Acinetobacter phage B9GP","HER 162"
10,"Acinetobacter phage 531","Her 32"
11,"Acinetobacter phage 205","HER 424"
12,"Acinetobacter phage 2213/73","HER 425"
13,"Acinetobacter phage 133","HER 423"
14,"Acinetobacter phage 42","HER 422"
15,"Actinomyces phage Av-1","HER 242;ATCC 43145-B1"
16,"Aeromonas phage Aeh1","HER 209"
17,"Aeromonas phage T7-Ah","HER 212"
18,"Aeromonas phage Aeh2","HER 210"
19,"Aeromonas phage PM4","HER 214"
20,"Aeromonas phage 3","HER 84"
21,"Aeromonas phage 31 Popoff","HER 105"
22,"Aeromonas phage 56 Popoff","HER 109"
23,"Aeromonas phage 25","HER 85"
24,"Aeromonas phage 44RR2.t","HER 98"
25,"Aeromonas phage 59.1","HER 100"
26,"Aeromonas phage Asp37","HER 99"
27,"Aeromonas phage 32 Popoff","HER 106"
28,"Aeromonas phage 43 Popoff","HER 107"
29,"Aeromonas phage 29 Popoff","HER 104"
30,"Aeromonas phage 51 Popoff","HER 108"
31,"Aeromonas phage 65 Popoff","HER 110"
32,"Aeromonas phage Riv-10","HER 525"
33,"Aeromonas phage SW69-9","HER 523"
34,"Aeromonas phage L9-6","HER 524"
35,"Aeromonas phage Atoyac 1","HER 633"
36,"Aeromonas phage Atoyac 10","HER 634"
37,"Aeromonas phage Atoyac 13","HER 635"
38,"Aeromonas phage Atoyac 14","HER 636"
39,"Aeromonas phage Atoyac 15","HER 637"
40,"Aeromonas phage Atoyac 23","HER 638"
41,"Aeromonas phage PM6","HER 216"
42,"Anabaena phage A-1-L","HER 279;ATCC  27893-B16"
43,"Aneurinibacillus phage phi BA-1","HER 251"
44,"Arthrobacter phage AGL4","HER 365"
45,"Asticcacaulis phage bla","HER 403"
46,"Asticcacaulis phage phi AcS3","HER 408"
47,"Asticcacaulis phage phi AcS4","HER 409"
48,"Bacillus phage gamma","HER 388"
49,"Bacillus phage AP50","HER 140"
50,"Bacillus phage CP-54Ber","HER 357"
51,"Bacillus phage TP-15c","HER 399"
52,"Bacillus phage TP21-L","HER 533"
53,"Bacillus phage W.Ph","HER 534"
54,"Bacillus phage Bace-11","HER 414"
55,"Bacillus phage CP51","HER 550"
56,"Bacillus phage CP54","HER 551"
57,"Bacillus phage BCJA1c","HER 406"
58,"Bacillus phage GA-1","HER 182"
59,"Bacillus phage  theta 1","HER 190"
60,"Bacillus phage theta c","HER 191"
61,"Bacillus phage LP52","HER 192"
62,"Bacillus phage alpha c3","HER 47"
63,"Bacillus phage MP13","HER 141"
64,"Bacillus phage MP15","HER 143"
65,"Bacillus phage MJ-1","HER 163"
66,"Bacillus phage MJ-4","HER 164"
67,"Bacillus phage G","HER 276"
68,"Bacillus phage PBP1","HER 314"
69,"Bacillus phage 1A","HER 86"
70,"Bacillus phage SST","HER 87"
71,"Bacillus phage phi 105","HER 46"
